Date,Open,High,Low,Close,Adj Close,Volume
2007-03-16,16779.480469,16939.429688,16643.759766,16744.150391,16744.150391,173300
2007-03-19,16713.990234,17026.460938,16713.990234,17009.550781,17009.550781,130800
2007-03-20,17155.349609,17267.740234,17146.529297,17163.199219,17163.199219,129400
2007-03-22,17383.619141,17489.189453,17379.400391,17419.199219,17419.199219,146500
2007-03-23,17519.509766,17534.769531,17407.970703,17480.609375,17480.609375,128500
2007-03-26,17517.919922,17558.039063,17425.000000,17521.960938,17521.960938,91900
2007-03-27,17357.259766,17516.890625,17315.910156,17365.050781,17365.050781,125700
2007-03-28,17328.119141,17442.619141,17141.650391,17254.730469,17254.730469,153000
2007-03-29,17119.949219,17350.880859,17036.220703,17263.939453,17263.939453,144700
2007-03-30,17318.849609,17380.800781,17267.099609,17287.650391,17287.650391,115300
2007-04-02,17346.250000,17425.740234,16999.050781,17028.410156,17028.410156,153900
2007-04-03,17154.779297,17279.730469,17095.919922,17244.050781,17244.050781,152000
2007-04-04,17400.679688,17576.509766,17394.140625,17544.089844,17544.089844,150400
2007-04-05,17507.460938,17531.300781,17430.380859,17491.419922,17491.419922,132800
2007-04-06,17502.900391,17560.300781,17422.550781,17484.779297,17484.779297,121000
2007-04-09,17606.029297,17747.820313,17606.029297,17743.759766,17743.759766,124500
2007-04-10,17631.019531,17706.919922,17613.150391,17664.689453,17664.689453,131300
2007-04-11,17699.390625,17723.390625,17618.189453,17670.070313,17670.070313,113800
2007-04-12,17601.650391,17601.650391,17455.179688,17540.419922,17540.419922,122200
2007-04-13,17629.019531,17662.890625,17327.369141,17363.949219,17363.949219,134000
2007-04-16,17507.179688,17696.869141,17507.179688,17628.300781,17628.300781,111900
2007-04-17,17750.669922,17782.080078,17452.119141,17527.449219,17527.449219,125200
2007-04-18,17557.400391,17706.849609,17538.339844,17667.330078,17667.330078,119900
2007-04-19,17530.000000,17530.000000,17219.730469,17371.970703,17371.970703,142600
2007-04-20,17471.560547,17502.019531,17404.619141,17452.619141,17452.619141,123500
2007-04-23,17589.609375,17656.550781,17413.640625,17455.369141,17455.369141,123700
2007-04-24,17363.839844,17500.339844,17305.779297,17451.769531,17451.769531,116000
2007-04-25,17379.519531,17379.519531,17221.550781,17236.160156,17236.160156,115100
2007-04-26,17359.839844,17496.109375,17321.050781,17429.169922,17429.169922,129900
2007-04-27,17377.039063,17542.250000,17299.369141,17400.410156,17400.410156,153800
2007-05-01,17396.300781,17396.300781,17203.029297,17274.980469,17274.980469,120300
2007-05-02,17310.750000,17441.099609,17227.089844,17394.919922,17394.919922,113500
2007-05-07,17564.169922,17715.990234,17558.240234,17669.830078,17669.830078,149500
2007-05-08,17651.470703,17711.669922,17587.919922,17656.839844,17656.839844,152500
2007-05-09,17616.580078,17753.330078,17616.580078,17748.119141,17748.119141,167000
2007-05-10,17793.490234,17827.480469,17712.890625,17736.960938,17736.960938,165400
2007-05-11,17616.019531,17616.019531,17455.279297,17553.720703,17553.720703,157500
2007-05-14,17682.740234,17786.650391,17673.859375,17677.939453,17677.939453,151300
2007-05-15,17577.140625,17609.550781,17491.589844,17512.980469,17512.980469,136100
2007-05-16,17487.000000,17539.949219,17430.699219,17529.000000,17529.000000,141000
2007-05-17,17586.330078,17656.070313,17482.439453,17498.599609,17498.599609,117100
2007-05-18,17563.529297,17563.529297,17320.810547,17399.580078,17399.580078,114900
2007-05-21,17455.550781,17599.349609,17411.509766,17556.869141,17556.869141,118300
2007-05-22,17578.310547,17730.839844,17545.259766,17680.050781,17680.050781,127900
2007-05-23,17763.150391,17802.710938,17699.119141,17705.119141,17705.119141,130600
2007-05-24,17680.449219,17760.570313,17606.560547,17696.970703,17696.970703,116300
2007-05-25,17529.269531,17529.269531,17370.179688,17481.210938,17481.210938,117700
2007-05-28,17544.980469,17630.369141,17544.669922,17587.589844,17587.589844,94200
2007-05-29,17524.820313,17700.519531,17521.640625,17672.560547,17672.560547,108000
2007-05-30,17664.369141,17727.169922,17484.300781,17588.259766,17588.259766,125800
2007-05-31,17715.769531,17875.750000,17701.570313,17875.750000,17875.750000,134300
2007-06-01,17949.919922,18017.730469,17943.679688,17958.880859,17958.880859,158700
2007-06-04,18067.900391,18071.800781,17973.419922,17973.419922,17973.419922,166700
2007-06-05,18019.789063,18071.720703,17950.449219,18053.810547,18053.810547,126200
2007-06-06,18001.199219,18073.050781,17991.189453,18040.929688,18040.929688,140700
2007-06-07,17879.009766,18053.380859,17866.519531,18053.380859,18053.380859,152500
2007-06-08,17904.679688,17904.679688,17696.509766,17779.089844,17779.089844,223600
2007-06-11,17899.019531,17932.099609,17801.630859,17834.480469,17834.480469,119600
2007-06-12,17845.220703,17862.990234,17735.560547,17760.910156,17760.910156,117200
2007-06-13,17631.869141,17781.410156,17591.929688,17732.769531,17732.769531,119300
2007-06-14,17834.779297,17875.019531,17815.300781,17842.289063,17842.289063,106900
2007-06-15,17945.839844,18007.990234,17930.339844,17971.490234,17971.490234,123800
2007-06-18,18127.410156,18194.259766,18112.929688,18149.519531,18149.519531,120500
2007-06-19,18131.589844,18163.609375,18103.560547,18163.609375,18163.609375,111900
2007-06-20,18173.070313,18297.000000,18141.949219,18211.679688,18211.679688,141300
2007-06-21,18117.300781,18287.730469,18107.810547,18240.300781,18240.300781,137200
2007-06-22,18177.890625,18200.109375,18092.359375,18188.630859,18188.630859,125600
2007-06-25,18107.679688,18203.560547,18079.849609,18087.480469,18087.480469,114300
2007-06-26,18098.330078,18101.890625,18008.599609,18066.109375,18066.109375,100400
